Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
_test3 create list,Success,21,8,2016-05-31 12:13:04 +0100,2016-06-01 13:09:21 +0100,0:00:05
_Debug Demo,Success,4,1,2016-05-31 15:29:46 +0100,2016-05-31 15:32:06 +0100,0:00:01
Try and catch,Success,1,0,2016-06-02 09:40:50 +0100,2016-06-02 09:40:50 +0100,0:00:00
_Test5 Create Todo sync,Success,10,3,2016-06-01 12:16:47 +0100,2016-06-01 13:09:58 +0100,0:00:05
_Test2 Multiple todos,Success,13,4,2016-05-31 12:02:22 +0100,2016-06-01 13:09:10 +0100,0:00:11
_Test1Create To-do,Success,30,8,2016-05-31 11:16:55 +0100,2016-06-01 13:09:05 +0100,0:00:03
_Test6 ReadFile,Success,3,1,2016-06-01 14:44:07 +0100,2016-06-01 21:02:00 +0100,0:02:50
_Test4 Completing Todos,Success,23,9,2016-05-31 13:48:40 +0100,2016-06-01 13:09:26 +0100,0:00:26
