Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-31 11:02:58.058 +0100,"Failure",0:00:30,1,0,1,"20160531_110258.058/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CloseButton/CloseButton.png""",0
2016-05-31 11:03:46.046 +0100,"Failure",0:00:22,1,0,1,"20160531_110346.046/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CloseButton/CloseButton.png""",0
2016-05-31 11:04:57.057 +0100,"Success",0:00:00,0,0,0,"20160531_110457.057/LogFile.txt","","",1
2016-05-31 11:05:33.033 +0100,"Failure",0:00:09,1,0,1,"20160531_110533.033/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CloseButton""",0
